NOM DU LIEU,SOURCE_codes_temp,ADRESSE,TELEPHONE,URL,PUBLICS,TYPOLOGIE,ESPACES PROPOSÉS,DESCRIPTION,IMAGE,MODELE_JURIDIQUE,FABRIQUE_DE_TERRITOIRE,DEPARTEMENT,ÉTAT DE VOTRE TIERS-LIEUX,BAN_latitude,BAN_longitude,BAN_adress,BAN_adress_full,BAN_city,BAN_postcode,BAN_depcode
Le Roch'Lab,CAPTL,ZA les Gours  49190 Rochefort sur Loire,07 68 20 11 01,https://lerochlab.fr/,Professionnels – Citoyens,T-O-D,,Tiers-lieu en naissance  culturel et créatif  lieu de partage d'activités pour métiers créatifs (coworking  expos  événements  transmission de savoir  mutualisation  sensibilisation au ré-emploi  promotion de l'économie circulaire créative),https://lerochlab.fr/wp-content/uploads/2019/02/3114-585x390.jpg,Association,NON,49,En activité,47.363507,-0.636022,Route des Loges,Route des Loges 49190 Rochefort-sur-Loire,Rochefort-sur-Loire,49190,undefined
Centrale 7,PiNG-CAPTL,Rue du Carreau de Bois II Nyoiseau 49500 Segré-en-Anjou Bleu,02 41 61 30 34,http://centrale7.net,Professionnels – Citoyens,T-O-D,,Installée depuis 2006 sur la friche industrielle des anciennes Mines de Fer de Segré-en-Anjou Bleu  l'association Centrale 7 propose des ateliers aux artistes  collectifs  compagnies... et travaille à la création et à la diffusion artistique en milieu rural.,http://centrale7.net/wordpress/wp-content/uploads/2014/01/atelier.jpg,Association,NON,49,En activité,47.701207,-0.927883,Rue du Carreau,Rue du Carreau 49500 Segré-en-Anjou Bleu,Segré-en-Anjou Bleu,49500,undefined
C'est bio l'Anjou,CAPTL,56 Avenue d'Angers 49190 Rochefort-sur-Loire,06 03 47 18 53,https://www.facebook.com/cestbiolanjou/,Professionnels – Citoyens,T-O-D,,Cuisine collaborative réunissant acteurs bio du territoire - éleveurs  traiteurs  formateurs  cuisiniers - pour mutualiser le matériel et croiser les réseaux en réponse à la crise écologique  dans un esprit d'entraide.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/cbiolanjoumodif.jpg,Autre,OUI,49,En activité,47.359116,-0.648979,56 Avenue d'Angers,56 Avenue d'Angers 49190 Rochefort-sur-Loire,Rochefort-sur-Loire,49190,undefined
ßricoLab,PiNG,8  Rue de Bellevue 49800 Loire-Authion,02 41 68 15 72,http://bricolab.aicla.fr/,Citoyens,O-D,,BricoLab’= Brico + Collaboratif + Loire Authion + Laboratoire. Depuis quelques temps  l’AIDAL et ses bénévoles tentent de mettre en place un lieu de bricolage collaboratif sur Loire-Authion  dans la lignée des fablabs  lieux où l’on fait soi-même avec les autres  autour de la fabrication et de la création numérique.  C’est un lieu de rencontre et d’échange  utilisé par les amateurs (habitants  artistes  entrepreneurs locaux  jeunes  retraités  homes  femmes…) Le BricoLab’ prône le partage des connaissances  les savoir-faire  le faire soi-même et le savoir collectif. Il œuvre à la liberté et à l’autonomie de chacun dans une égalité devant les connaissances. Il réhabilite le travail manuel toujours sous-estimé dans notre société etpermet d’apprendre par la pratique.,,Association,OUI,49,En activité,47.47356,-0.346684,Rue de Bellevue,Rue de Bellevue 49800 Loire-Authion,Loire-Authion,49800,undefined
Centre Social l'Atelier,PiNG,5 rue de Savennières 49170 St-Georges sur Loire,02 41 39 17 11,https://latelier.centres-sociaux.fr/,Citoyens,O-D,,L’Atelier est une association d’habitants  accompagnée par des professionnels  dont l’objectif est de développer socialement le territoire. Sa mission première consiste à appuyer les initiatives des habitants pour répondre à leurs besoins. Située à Saint Georges sur Loire  elle rayonne sur 9 communes : Champtocé sur Loire  Saint Georges sur Loire  Saint Germain des Prés  La Possonnière  Savennières  Béhuard  Saint Martin du Fouilloux  Saint Léger des Bois et Saint Jean de Linières  avec une population de 16 000 personnes. L’association porte notamment un cybercentre  un repair café  et une Maison de Services Au Public.,,Association,NON,49,En activité,47.406964,-0.757777,5 Rue de Savennières,5 Rue de Savennières 49170 Saint-Georges-sur-Loire,Saint-Georges-sur-Loire,49170,undefined
Centre social ESPACE Baugeois,PiNG,Square du pont des fées Baugé 49150 Baugé en Anjou,02 41 89 84 00,https://les3maisons.org,Citoyens,O-D,,Le Centre Social ESPACE Baugeois développe des actions s’appuyant sur des valeurs fortes de Solidarité dans une démarche d’éducation populaire. Il accueille de nombreux projets créateurs de liens comme un Cybercentre et un Repair Café.,,Association,NON,49,En activité,47.549798,-0.116863,Square des Orchidees,Square des Orchidees 49150 Baugé-en-Anjou,Baugé-en-Anjou,49150,undefined
Regus Express Le Mans,FTL,Place du 8 Mai 1945 72000 Le Mans,0800 023 077,http://www.regus.fr/locations/office-space/le-mans-gare-sncf-regus-express,Professionnels,T,,Le centre de la Gare du Mans est idéalement situé dans la gare TGV  au cœur du quartier d'affaires de la ville. Il offre des espaces permettant de travailler en toute tranquillité et aux collaborateurs itinérants voyageant en train de bénéficier d'un environnement professionnel doté de tout ce dont ils ont besoin.,,SARL/SAS/SA,NON,72,En activité,47.995518,0.193886,place du 8 mai 1945,place du 8 mai 1945 72000 Le Mans,Le Mans,72000,undefined
La Ruche Numérique,FTL,1 Boulevard René Levasseur 72100 Le Mans,02 43 21 00 01,https://www.laruchenumerique.com,Professionnels,T,,La Ruche Numérique c’est à la fois une équipe dynamique et disponible et un espace de coworking pour travailler  à la demie journée  à la journée  au mois  ouvert du lundi au vendredi  de 9h à 18h non stop!,,Association,NON,72,En activité,48.003531,0.197436,1 boulevard René Levasseur,1 boulevard René Levasseur 72000 Le Mans,Le Mans,72000,undefined
La Tribu Co_working,FTL,10 Rue du Docteur Leroy 72100 Le Mans,02 72 88 34 88,http://www.latribucw.fr,Professionnels,T,,Cet espace de coworking met à disposition des bureaux à partager et des salles de réunion. Il est également possible de participer aux animations proposées par les coworkers (atelier  formation  conférence  …). Le tout  dans une ambiance de travail collaborative et alternative.,http://www.latribucw.fr/wp-content/uploads/2016/10/espace_r-1640x686-1170x400.png,SARL/SAS/SA,NON,72,En activité,48.003054,0.195872,10 rue du Docteur Leroy,10 rue du Docteur Leroy 72000 Le Mans,Le Mans,72000,undefined
Hangar Créalab,CAPTL,43 Place d’Alger 72000 Le Mans,Non renseigné,http://hangar-crealab.fr,Professionnels – Citoyens,T-O-D,,Lieu de travail et d'ouverture(s) dédié à l'experimentation des processus créatifs.  Le hangar est un lieu de coworking conçu pour et par les occupants proposant aux professionnels des bureaux  ateliers et une salle de réunion. Il y a aussi un créalab qui evolue et s'adapte aux besoins : expositions  labo de création  présentation publique  conférences  ateliers de conception  residence d'artistes  réunions...,https://i2.wp.com/hangar-crealab.fr/wp/wp-content/uploads/2016/08/DSCF0781.jpg?resize=1180%2C435,Association,NON,72,En activité,48.001854,0.193377,43 rue d'Alger,43 rue d'Alger 72000 Le Mans,Le Mans,72000,undefined
Village Factory Asnière-sur-Vègre,FTL-CAPTL,2 bis Rue du Lavoir 72430 Asnières-sur-Vègre,06 14 56 96 76,http://www.asnieres.village-factory.net,Professionnels,T,,Ce tiers-lieu rural situé dans une ancienne école est à la fois un espace de coworking  un lieu de rencontre de réseaux professionnels mais aussi un espace de vie et d'activités culturelles  numériques (...).,http://www.asnieres.village-factory.net/wp-content/uploads/2017/11/IMG_0073-1.jpg,Association,NON,72,En activité,47.888563,-0.233487,Rue du Lavoir,Rue du Lavoir 72430 Asnières-sur-Vègre,Asnières-sur-Vègre,72430,undefined
HAUM,FTL-PiNG,57 boulevard Demorieux  72100 Le Mans,Non renseigné,http://haum.org/,Professionnels – Citoyens,T-O-D,,Le « Hackerspace Au Mans » (HAUM) est une association sarthoise adepte de la philosophie du """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Faites-le vous-même"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" (""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Do-It-Yourself"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" en anglais). Ouverte à tou(te)s  si l'envie démange de comprendre comment fonctionnent les objets du quotidien qui nous entourent  que l'esprit fourmille d'idées et que  comme eux  on aime bricoler.,https://photos.haum.org/albums/local/p1110276_29071594444_o.jpg,Association,NON,72,En activité,47.99352,0.185182,,,Le Mans,,undefined
Le 2-4,CAPTL,2-4 rue des rosiers 53140 Pré-en-Pail,02 43 08 23 74,https://collectif2-4.org/,Professionnels – Citoyens,T-O-D-C,,Le « 2–4 » est un local de plus de 1000 m²  situé dans le centre-bourg de Pré-en-Pail. C’est un pôle d’associations d’éducation populaire qui partagent une action quotidienne de proximité et travaillent au maintien et à la création du lien social entre les habitants  en favorisant l’échange entre les générations  les cultures  les genres.,https://2.bp.blogspot.com/-4kAlqNeZiZQ/VV3XEUS_XPI/AAAAAAAAAl0/HBg3hHhZsBs/s400/DSCF1377.JPG,Association,OUI,53,En activité,48.460351,-0.200845,4 Rue des Rosiers,4 Rue des Rosiers 53140 Pré-en-Pail-Saint-Samson,Pré-en-Pail-Saint-Samson,53140,undefined
Tiers-Lieu à St-Denis-de-Gastines,CAPTL,2 rue de Bretagne 53500 Saint-Denis-de-Gastines,07 57 41 62 31,https://www.facebook.com/tierslieusddg/,Professionnels – Citoyens,T-O-D,,La naissance du tiers-lieu de St-Denis-de-Gastines est issue de la rencontre de plusieurs projets aux objectifs communs portés par la commune de St-Denis-de-Gastines  l'association Au Foin de la Rue et la communauté de communes de l'Ernée. Les réflexions partagées autour de ce projet de lieu ont suscité la création d'un comité de pilotage pour lancer une démarche participative  des visites de lieux inspirants et l'accompagnement extérieur pour créer collectivement un lieu qui ait du sens. A ce jour  le tiers-lieu de St-Denis-de-Gastines s’articule autour de différents espaces : la coque « travail » (espace de bureaux partagés  conciergerie  accueil  soutien numérique  espace repas partagé…)  la coque « jardin » (activités artistiques et culturelles  activités extérieures de loisirs et de détente…) et la coque « atelier » (atelier de fabrication artisan  ateliers loisirs créatifs  espace fablab  grainothèque…).,,SCIC ou SCOP,OUI,53,En activité,48.341994,-0.857447,2 Rue de Bretagne,2 Rue de Bretagne 53500 Saint-Denis-de-Gastines,Saint-Denis-de-Gastines,53500,undefined
Coworking@lude,FTL,Allée de l'ancienne gare 72800 Le Lude,02 85 29 12 29,https://www.comcomsudsarthe.fr/espace-coworking,Professionnels,T,,Bâtiment desservi par la fibre optique (100 méga de débit).  Accessible 24h sur 24h et 7j sur 7j. - 8 bureaux dans un espace collaboratif dont 3 équipés d’un double écran - 6 bureaux individualisés - 1 imprimante et 1 photocopieur / fax - 1 salle de formation pouvant accueillir 12 à 15 personnes et équipée d’un tableau numérique interactif - 1 espace détente où tout est prévu pour organiser votre journée de travail (micro-ondes  réfrigérateur  plaques de cuisson  vaisselles…) sans oublier le café et le thé à tout moment de la journée.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/coworking_le_lude.jpg,Autre,NON,72,En activité,47.640942,0.157667,Allée de l'Ancienne Gare,Allée de l'Ancienne Gare 72800 Le Lude,Le Lude,72800,undefined
La Salle à Manger coworking,FTL,54 rue des hauts pavés 44000 Nantes,626413090,http://lasalleamanger-coworking.fr/,Professionnels,T-D,,Installé dans une belle et grande maison rue des Hauts-Pavés  le coworking accueille tous types de professions en open space ou en bureau fermé. L’espace propose un cadre agréable et lumineux réparti sur 3 niveaux pour pouvoir bien travailler et se concentrer mais aussi pour faire une pause et échanger. Vous y trouverez : votre bureau  salles de réunion et box d’appel  une salle de pause et une salle de sieste  une douche  cuisine équipée  la salle à manger qui est au cœur de la vie de la maison et un jardin arboré pour garer les vélos et profiter du grand air et du barbecue ! Simplicité et convivialité sont les maitres mots de la Salle à Manger. L’espace est à ses coworkers et ce sont eux qui en font ce qu’il est. L’accès est disponible 24/7 pour tous donc il est même possible de venir s’y poser le weekend. Venez nous rendre visite et nous rencontrer !,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/La_salle_a-manger.jpg,SARL/SAS/SA,NON,44,En activité,47.225273,-1.566532,54 Rue des Hauts Pavés,54 Rue des Hauts Pavés 44000 Nantes,Nantes,44000,undefined
ICI Nantes,FTL – PiNG,24  rue de la Mitrie 44000 NANTES,Non renseigné,https://makeici.org/location-ateliers/nantes/,Professionnels,T-O,,ICI Nantes  c’est une communauté de créateurs multipliant les savoir-Faire ART(isanat) x DESIGN X NUMÉRIQUE pour qui échanges et partage de savoir-faire sont les maîtres-mots.  En cours d'installation sur 1500m2 avec 8 ateliers partagés  les artisans  artistes  designers  makers... exercent leur activité grâce aux machines et outils mis à votre disposition ; mais aussi un espace de coworking de 8 postes  2 salles de réunions  un éco-système qui facilite leur activité (grands comptes  makers  partenaires financiers  agences…).  ICI Nantes a ouvert ses porte en octobre 2019 dans les anciennes écuries de la caserne Mellinet à Nantes.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/icinantes.jpg,SARL/SAS/SA,NON,44,En activité,47.226341,-1.535127,Rue de la Mitrie,Rue de la Mitrie 44000 Nantes,Nantes,44000,undefined
PlaceToCo,FTL,Immeuble Philae ZAC de la Colleraye  44260 Savenay,02 85 52 13 22,https://www.placetoco.fr,Professionnels,T-D,,PlaceToCo est un espace de coworking situé à Savenay avec des espaces de travail et des salles à louer à la demi-journée  la journée ou au mois. Les locaux comprennent un studio photo et vidéo avec un fond vert  une caméra  un microphone et une box photo pour packshot. PlaceToCo propose également un programme de coaching digital nommé """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Digital Fitness"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" dont le but est permettre aux entreprises ayant recours au digital d'inclure davantage le digital dans leur stratégie. Cela se fait via des ateliers et des formations sur le marketing digital  un accompagnement avec des conseils personnalisés selon l'entreprise  et une ouverture à un réseau d'entreprises.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/place_to_co.png,SARL/SAS/SA,NON,44,En activité,47.359176,-1.943694,Place de l’Hôtel de Ville,Place de l’Hôtel de Ville 44260 Savenay,Savenay,44260,undefined
Food Lab Solidaire,FTL-CAPTL,Allée des caves 49650 Brain sur Allonnes,06 35 51 00 57,https://conserverie-valorise.wixsite.com/valorise,Professionnels – Citoyens,T-D,,Le Food Lab Solidaire est un tiers lieu dédié à une alimentation saine et durable accessible pour tous proposant des outils partagés rendus plus agiles sur son territoire : une conserverie antigaspi  une cuisine partagée  des espaces en co-working  des espaces tests agricoles  des prestations de service  des ateliers pédagogiques...Dans un cadre naturel préservé.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/Food_Lab_Solidaire.jpg,Association,NON,49,En activité,47.307477,0.063626,Allée des Caves,Allée des Caves 49650 Brain-sur-Allonnes,Brain-sur-Allonnes,49650,undefined
Le Palace,FTL,4 rue Voltaire 44000 Nantes,02 85 52 43 74,https://lepalace.work/,Professionnels,T-D,,Le Palace est un lieu de 3200 mètres carrés en plein centre de Nantes qui réunit des acteurs animés par l’entrepreneuriat et l'innovation : près de 400 personnes bénéficient de nos offres de location de bureaux  salles de réunion et salles événementielles pour travailler  se rencontrer et créer des contenus & projets utiles à la communauté.,,SARL/SAS/SA,NON,44,En activité,47.212822,-1.563372,4 Rue Voltaire,4 Rue Voltaire 44000 Nantes,Nantes,44000,undefined
La Mine au Tri,FTL-CAPTL,13 Rue du Huit Mai 44650 Corcoué-sur-Logne,02 28 02 96 95,http://recyclerielegrenier.org/,Professionnels – Citoyens,T-O-D-C,,Plus qu'une recyclerie  La Mine au tri est un lieu de partage avec un bar associatif  un orchestre d'instruments fabriqués maison  un marché de producteurs locaux  la fabrication d’objets détournés  un groupe de rencontre avec des personnes atteintes de maladies graves...,,Association,NON,44,En activité,46.969163,-1.575698,13 Rue du 8 mai,13 Rue du 8 mai 44650 Corcoué-sur-Logne,Corcoué-sur-Logne,44650,undefined
